Month,Year,Company,Location,State,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
December,2008,Zyacorp Entertainment Cinemagic Stadium,Merrimack, New Hampshire,HACK,BSR,0,0,"Hackers broke into a Merrimack movie 
          theater's servers and stole customers' credit card information.",Dataloss DB
September,2008,University of Indianapolis,Indianapolis, Indiana,HACK,EDU,"11,000","11,000","A hacker attacked the University 
            of Indianapolis' computer system and gained access to personal information 
            and Social Security numbers for 11,000 students, faculty and staff,",Dataloss DB
September,2008,Texas A&M University,College Station, Texas,HACK,EDU,31,31,"A class roster was among some 
            documents located on a computer server that was hacked. The class 
            roster was for Economics-2301 held during the first summer session 
            of 2004. Social Security numbers were part of the information on those 
            documents.",Dataloss DB
August,2008,Wuesthoff Medical Center,Rockledge, Florida,HACK,MED,500,500,"Hundreds of people in Brevard County 
          found out their personal information was stolen. Names, Social Security 
          numbers and even personal medical information were posted on the Internet.",Dataloss DB
August,2008,Wells Fargo,Minneapolis, Minnesota,HACK,BSF,"5,000","5,000","Wells Fargo is notifying customers 
            that hackers have accessed their confidential personal data by illegally 
            using its access codes. Personal information including names, addresses, 
            dates of birth, Social Security numbers, driver's licence numbers 
            and in some cases, credit account information was accessed by unauthorised 
            persons.",Dataloss DB
June,2008,1st Source Bank,South Bend, Indiana,HACK,BSF,0,0,"1st Source Bank is replacing ATM 
          cards this month for all its account holders after cyber-thieves accessed 
          an unknown amount of debit-related data.",Dataloss DB
June,2008,Oregon State University,Corvallis, Oregon,HACK,EDU,"4,700","4,700","The Oregon State Police are investigating 
            the theft of personal information from online customers of the OSU 
            Bookstore who used credit cards to purchase items.",Dataloss DB
May,2008,Oklahoma State University,Stillwater, Oklahoma,HACK,EDU,"70,000","70,000","A breach in an Oklahoma State 
            University computer server exposed names, addresses and Social Security 
            numbers of students, staff and faculty who bought parking and transit 
            services permits in the past six years.",Dataloss DB
April,2008,Southern Connecticut State University,New Haven, Connecticut,HACK,EDU,"11,000","11,000","Southern Connecticut State University 
            is taking action to prevent its students from becoming victims of 
            identity theft. The move comes after a website with student and alumni 
            information was found to be easily accessible to hackers. It appears 
            that no financial information was accessed but Social Security numbers 
            were vulnerable.",Dataloss DB
April,2008,West Seneca School District,West Seneca, New York,HACK,EDU,"1,800","1,800","Several current and former students 
            are believed to have broken into the school district's computer 
            system and copied secure files that included the personal information 
            and Social Security numbers of school employees",Dataloss DB
April,2008,Joliet West High School,Joliet, Illinois,HACK,EDU,0,0,"A student using a school computer 
            last month was able to access personal information about every student 
            enrolled. The student allegedly downloaded a list of names and Social 
            Security numbers to his iPod.",Dataloss DB
April,2008,Okemo Mountain Resort,Ludlow, Vermont,HACK,BSO,"28,168","28,168","The Ludlow ski area announced 
            that its computer network was breached by an intruder who gained access 
            to credit card data including cardholder names, account numbers and 
            expiration dates.",Dataloss DB
March,2008,Advance Auto Parts,Roanoke, Virginia,HACK,BSR,"56,000","56,000","The retailer reported that a network 
            intrusion had exposed financial information and was the subject 
            of a criminal investigation. Fourteen of the retailer's stores, including 
            locations in Georgia, Ohio, Louisiana, Tennessee, Mississippi, Indiana, 
            Virginia and New York, are believed to have been affected.",Dataloss DB
March,2008,Antioch University,Yellow Springs, Ohio,HACK,EDU,"70,000","70,000","A computer system that contained 
            personal information on about 70,000 people was breached by an unauthorized 
            intruder three times. The system contained the names, Social Security 
            numbers, academic records and payroll documents for current and former 
            students, applicants and employees.",Dataloss DB
March,2008,Broward School District,Coconut Creek, Florida,HACK,EDU,"38,000","38,000","An Atlantic Technical High School 
            senior hacked into a district computer and collected Social Security 
            numbers and addresses of district employees.",Dataloss DB
March,2008,Western Carolina University,Cullowhee, North Carolina,HACK,EDU,555,555,"Someone had hacked into a computer 
            server and had access to the Social Security numbers of 555 graduates 
            of the university who had signed up for a newsletter.",Dataloss DB
March,2008,  Harvard University,Cambridge, Massachusetts,HACK,EDU,"6,600","6,600","Harvard Graduate School of Arts 
            and Sciences (GSAS) Web server may have compromised 10,000 sets of 
            personal information from applicants and students, including 6,600 
            Social Security numbers and 500 Harvard ID numbers.",Dataloss DB
March,2008,MTV Networks,Los Angeles, California,HACK,BSO,"5,000","5,000","Computer files with confidential 
            data on employees at MTV Networks were breached by someone outside 
            the company. Personal information in the files included names, birth 
            dates, Social Security numbers and compensation data.",Dataloss DB
February,2008,MLSgear.com,Louisville, Kentucky,HACK,BSR,0,0,"Injection attacks on web servers 
            hosted by a third-party service provider has compromised the personal 
            data of an unspecified number of individuals who had shopped on Major 
            League Soccer's MLSgear.com Web site. The compromised information 
            included names, addresses, credit card data, debit card data, and 
            MLSgear.com passwords.",Dataloss DB
January,2008,OmniAmerican Bank,Fort Worth, Texas,HACK,BSF,0,0,"An international gang of cyber 
            criminals hacked into the bank's records. They stole account numbers, 
            created new PINs, fabricated debit cards, then withdrew cash from 
            ATMs in Eastern Europe, Russia, Ukraine, Britain, Canada and New York. 
            Fewer than 100 accounts, some of them dormant, were compromised.",Dataloss DB
January,2008,Geeks.com,Oceanside, California,HACK,BSR,0,0,"Personal and financial data may 
            have been compromised by an intrusion into the systems of the online 
            retailer's Web site. Compromised information included the names, addresses, 
            telephone numbers and Visa credit card numbers.",Dataloss DB
January,2008,Robotics Industries Association,Ann Arbor, Michigan,HACK,BSO,0,0,"A hacker accessed the administration 
            site for Robotics Online gaining access to individual orders that 
            contained credit card information. Seven residents of NH were affected, 
            but national totals were not indicated.",Media
December,2007,Oak Ridge National Laboratory,Oak Ridge, Tennessee,HACK,GOV,"12,000","12,000","Hackers may have infiltrated a 
            non-classified database containing names, Social Security numbers 
            and birth dates of every lab visitor between 1990 and 2004. The assault 
            was in the form of phony e-mails containing attachments, which when 
            opened allowed hackers to penetrate the lab's computer security. 
            The lab has sent letters to about 12,000 
            potential victims. ",Dataloss DB
December,2007,Duke University,Durham, North Carolina,HACK,EDU,"1,400","1,400","Social Security numbers of about 
            1,400 prospective law school applicants may have been compromised 
            when a school Web site was accessed illegally.",Dataloss DB
October,2007,Art.com,Lockbourne, Ohio,HACK,BSR,0,0,"Cyberspace criminals gained systems 
            entry despite multiple security layers and accessed some 
            credit card transactions. The retailer of posters, prints and framed 
            art alerted customers that hackers had gotten into the website to 
            access credit card accounts.",Dataloss DB
October,2007,Not Your Average Joe's,Dartmouth, Massachusetts,HACK,BSO,0,0,"Massachusetts restaurants were 
            targeted by an individual or individuals seeking to illegally obtain 
            credit card data. The data that was compromised included credit card 
            numbers, expiration date and name associated with the card.",Dataloss DB
October,2007,Commerce Bank,Wichita, Kansas,HACK,BSF,20,20,"A hacker gained access to a database 
            with about 3,000 customer records and accessed data belonging to 20 
            of them. The bank is contacting those who may have been affected. 
            The hacking was quickly detected and stopped, according to Commerce 
            Bank, which then notified law enforcement.",Dataloss DB
October,2007,The Nature Conservancy,Arlington, Virginia,HACK,NGO,"14,000","14,000","A hacker illegally gained access 
            to a computer of The Nature Conservancy containing personal information 
            on current and former employees and their dependents. The stolen information 
            included the names, home addresses, Social Security numbers and birth 
            dates. It also included direct deposit bank account numbers for employees 
            who were on the payroll between 2000 and 2004, as well as the Social 
            Security numbers of those employees' dependents. When employees 
            accessed a particular Web site, the site planted a program on the 
            employees' computers that copied the contents of the hard drives 
            and sent the information to the hacker.",Dataloss DB
September,2007,Voxant.com,Reston, Virginia,HACK,BSO,"4,500","4,500","The Voxant online 
            ecommerce store server was hacked using what appeared to be a typical 
            phishing scheme. The server is seperate from the primary business 
            at www.voxant.com. The affected server was immediately taken offline 
            and removed the offending phising pages. Encrypted credit card numbers 
            could have been accessed during the incident. Although the credit 
            card numbers were encrypted, the encryption key was not well protected. 
            The database up through June 19-20 could have been affected, representing 
            approximately 4,500 US customers.",Dataloss DB
July,2007,University of Michigan,Ann Arbor, Michigan,HACK,EDU,"5,500","5,500","University databases 
            were hacked. Names, addresses, Social Security numbers, birth dates, 
            and in some cases, the school districts where former students were 
            teaching were exposed.",Dataloss DB
July,2007,Western Union,Greenwood Village, Colorado,HACK,BSF,"20,000","20,000","Credit card information 
            and names were hacked from a database. The thieves got names, addresses, 
            phone numbers and complete credit-card information.",Dataloss DB
May,2007,Waco Independent School District,Waco, Texas,HACK,EDU,"17,400","17,400","Two high school seniors 
            recently hacked into the district's computer network potentially compromising 
            the personal information including Social Security numbers of students 
            and employees.",Dataloss DB
May,2007,Columbia Bank,Fair Lawn, New Jersey,HACK,BSF,0,0,"Columbia Bank notified 
            its online banking customers of a hacking incident. Names and SSNs 
            were accessed, but account numbers and passwords were not.",Dataloss DB
May,2007, Goshen College                  ,Goshen, Indiana,HACK,EDU,"7,300","7,300","A hacker accessed a college computer that contained the names, addresses, birth dates, Social Security numbers and phone numbers of students and information on some parents with the suspected motivation of using the system to send spam e-mails.",Dataloss DB
May,2007,University of Missouri,Columbia, Missouri,HACK,EDU,"22,396","22,396",A hacker accessed a computer database containing the names and Social Security numbers of employees of any campus within the University system in 2004 who were also current or former students of the Columbia campus.,Dataloss DB
March,2007,Johnny's Selected Seeds,Winslow, Maine,HACK,BSR,"11,500","11,500","Hacker accessed credit 
            card account information of online customers. About 20 credit cards 
            have been used fraudulently.",Dataloss DB
February,2007,"Radford University, Waldron School of Health and Human Services",Radford, Virginia,HACK,EDU,"2,400 children","2,400","A computer security breach 
            exposed the personal information, including SSNs, of children enrolled 
            in the FAMIS program, Family Access to Medical Insurance Security.",Dataloss DB
February,2007,"University of Missouri, Research Board Grant Application System",Columbia, Missouri,HACK,EDU,"1,220","1,220","A hacker broke into a UM 
            computer server mid-January and might have accessed personal information, 
            including SSNs, of 1,220 researchers on 4 campuses. The passwords 
            of 2,579 individuals might also have been exposed.",Dataloss DB
January,2007,Clay High School,Oregon, Ohio,HACK,EDU,0,0,"A former high school student 
            obtained sensitive staff and student information through an apparent 
            security breach. The data was copied onto an iPod and included names, 
            birth dates, SSNs, addresses, and phone numbers.",Dataloss DB
December,2006,"Deb Shops, Inc.",Philadelphia, Pennsylvania,HACK,BSR,0,0,"A hacker illegally accessed 
            company Web pages and a related data base used for Internet-based 
            purchases. The intruder may have accessed customers' credit card information 
            including names on cards and credit card numbers.",Dataloss DB
December,2006,City of Wickliffe,Wickliffe, Ohio,HACK,GOV,125 employees,125,"Hackers breached security 
            in one of the city's three computer servers containing personal information 
            on some city employees, including names and SSNs.",Dataloss DB
December,2006,University of California at Los Angeles (UCLA),Los Angeles, California,HACK,EDU,"800,000","800,000","Hacker(s) gained access 
            to a UCLA database containing personal information on current and 
            former students, current and former faculty and staff, parents of 
            financial aid applicants, and student applicants, including those 
            who did not attend. Exposed records contained names, SSNs, birth dates, 
            home addresses, and contact information. About 3,200 of those notified 
            are current or former staff and faculty of UC Merced and current and 
            former staff of UC's Oakland headquarters.",Media
November,2006,City of Lubbock,Lubbock, Texas,HACK,GOV,"5,800","5,800","Hackers broke into the city's 
            web site and compromised the online job application database, which 
            included Social Security numbers.",Dataloss DB
October,2006,Akron Children's Hospital,Akron, Ohio,HACK,MED,"235,903","235,903","Overseas hackers broke into 
            two computers at Children's Hospital. One contains private patient 
            data (including Social Security numbers) and the other holds billing 
            and banking information.",Dataloss DB
October,2006,LimeWire,Denver, Colorado,HACK,BSO,75,75,"The Denver Police Dept. 
            reports that LimeWire's file-sharing program was exploited to access 
            personal and financial information from

            approximately 75 different individual and business account names from 
            all over the country. The
            information, which included tax records, bank account information, 
            online bill paying records and
            other material, appears to have been stolen directly from computers 
            that were using LimeWire's filesharing
            software program.",Dataloss DB
September,2006,"Linden Lab, Second Life",San Francisco, California,HACK,BSO,0,0,"On Sept. 6, Linden Lab discovered 
            that a hacker accessed its Second Life database through web servers. 
            The affected data included unencrypted account names, real life names, 
            and contact information, plus encrypted account passwords and payment 
            information. Second Life is a 3-D virtual world.",Dataloss DB
August,2006,PortTix,Portland, Maine,HACK,BSO,"2,000","2,000","Credit card information 
            for about 2,000 people who ordered tickets online through PortTix 
            was accessed by someone who hacked into the Web site. PortTix is Merrill 
            Auditorium's ticketing agency. The Web site was secured as of Aug. 
            24.",Dataloss DB
August,2006,Wichita State University,Wichita, Kansas,HACK,EDU,"2,000","2,000","WSU learned on June 29 that 
            someone gained unauthorized access into 3 computers in its College 
            of Fine Arts box office, containing credit card information for about 
            2,000 patrons.",Dataloss DB
June,2006,Nebraska Treasurer's Office,Lincoln, Nebraska,HACK,GOV,"309,000","309,000","A hacker broke into a child-support              computer system and may have obtained names, Social Security numbers              and other information such as tax identification numbers for 9,000              businesses.",Dataloss DB
November,2009,MassMutual,Springfield, Massachusetts,HACK,BSF,0,0,"According to MassMutual, a ""limited amount"" of personal employee information maintained in a database by an outside vendor may have been subject to unauthorized access. The vendor engaged a forensics team to investigate, and at this time they believe that no misuse of the information or fraudulent activity involving the data has occurred. This database does not include client or field representative information; it also did not contain personal Social Security or bank account information, according to the company.",Dataloss DB
April,2006,University of Medicine and Dentistry of New Jersey,Newark, New Jersey,HACK,EDU,"1,850","1,850","Hackers accessed Social 
            Security numbers, loan information, and other confidential financial 
            information of students and alumni.",Dataloss DB
June,2006,University of Texas at El Paso,El Paso, Texas,HACK,EDU,"4,719","4,719","Students demonstrated that 
            student body and faculty elections could be rigged by hacking into 
            student information including Social Security numbers.",Dataloss DB
June,2006,U.S. Department of Agriculture (USDA),Washington, District Of Columbia,HACK,GOV,"26,000","26,000","During the first week in 
            June, a hacker broke into the Department's computer system and may 
            have obtained names, Social Security numbers and photos of current 
            and former employees and contractors.",Dataloss DB
November,2009,TAD Gear,San Francisco, California,HACK,BSR,0,0,"TAD Gear recently learned that their database was illegally accessed from an external source, and it appears that some customer data was taken, which may include customer names, contact information and credit card data. The possibility of a security breach came to their attention when certain customers notified them that unauthorized charges had appeared on their credit cards. Upon learning of the potential breach of security, TAD Gear immediately initiated an investigation, and took corrective steps.",Dataloss DB
November,2009,Penn State,University Park, Pennsylvania,HACK,EDU,303,303,"A Penn State professor's grade book from 2001 to 2004 that contained 303 students' Social Security numbers, among other personal information, was found to be compromised by a computer virus.",Dataloss DB
May,2007,Community College of Southern Nevada,North Las Vegas, Nevada,HACK,EDU,"197,000","197,000","A virus attacked a computer server and could have allowed a hacker to access students' personal information including names, Social Security numbers and dates of birth, but the school is not certain whether anything was actually stolen from the school's computer system.",Dataloss DB
May,2009,Batteries.com,Carmel, Indiana,HACK,BSR,865,865,"On March 13th, Batteries.com 
            received notice from a customer about potential unauthorized activity 
            on their credit card. They later discovered the Batteries.com network 
            had been breached from around February 25, 2009 to April 9, 2009. 
            The hackers stole names, addresses and credit card information.",Dataloss DB
October,2009,PayChoice,Moorestown, New Jersey,HACK,BSF,0,0,"Hackers broke into the company's 
            servers and stole customer user names and passwords. The attackers 
            then included that information in e-mails to PayChoice's customers 
            warning them that they needed to download a Web browser plug-in in 
            order to maintain uninterrupted access to onlineemployer.com. The 
            plug-in was instead malicious software designed to steal the victim's 
            user names and passwords.",Dataloss DB
July,2009,Network Solutions,Herndon, Virginia,HACK,BSO,"573,000","573,000","Hackers have broken into Web servers 
            owned by domain registrar and hosting provider Network Solutions, 
            planting rogue code that resulted in the compromise of more than 573,000 
            debit and credit card accounts over the past three months. Network 
            Solutions discovered that attackers had hacked into Web servers the 
            company uses to provide e-commerce services - a package that includes 
            everything from Web hosting to payment processing -- to at least 4,343 
            customers, mostly mom-and-pop online stores. The malicious code left 
            behind by the attackers allowed them to intercept personal and financial 
            information for customers who purchased from those stores.",Dataloss DB
April,2009, West Virginia State Bar,Charleston, West Virginia,HACK,NGO,0,0,"The West Virginia State Bar has 
          hired forensic computer experts in hopes of finding those responsible 
          for hacking into the group's website and internal computer network. 
          Information about the State Bar's current and 
          former members may have been compromised. The hacker was able to access the group's internal database server where there 
          was information concerning lawyer identification numbers, names, mailing 
          addresses, email addresses and some Social Security numbers.",Dataloss DB
November,2008, University of Florida College of Dentistry,Gainesville, Florida,HACK,EDU,"330,000","330,000","Some current and former dental 
            patients have been notified that an unauthorized intruder recently 
            accessed a College of Dentistry computer server storing their personal 
            information. College information technology staff members were upgrading 
            the server and found software had been installed on it remotely. Information 
            stored on the server included names, addresses, birth dates, Social 
            Security numbers and, in some cases, dental procedure information 
            for patients dating back to 1990.",Dataloss DB
October,2008,Shenendehowa Transportation Employees,Shenendehowa, New York,HACK,EDU,250,250,"A Shenendehowa sophomore was arrested 
            after he allegedly accessed the personal data of some 250 transportation 
            employees due to a school district error in configuring information on a new computer server. The student 
            was able to use his student password to access an employee domain 
            and 250 names of past and present Shenendehowa transportation employees, their 
            Social Security numbers, driver's license numbers and more.",Dataloss DB
September,2008, Franklin Savings and Loan,Cincinnati, Ohio,HACK,BSF,"25,000","25,000","An unauthorized person gained 
            access to a database on a company web site containing personal information such as names, 
            addresses, phone numbers, account numbers, account balances and Social 
            Security numbers.",Dataloss DB
March,2005,Purdue University,West Lafayette, Indiana,HACK,EDU,"1,200             (not included in total because news stories are not clear if SSNs              or financial information were exposed)",0,"Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.",Dataloss DB
May,2008,"University of California, San Francisco         ",San Francisco, California,HACK,EDU,"3,569","3,569","During routine monitoring of a 
            campus computer network, UCSF discovered unusual data traffic on one 
            of its computers. During the investigation, UCSF determined that an 
            unauthorized movie-sharing program had been installed on one computer 
            by an unknown individual. Installation of this program required high-level 
            system access. The computer contained files with lists of patients 
            from the UCSF pathology department's database. The data included 
            information such as patient names, dates of pathology service, health 
            information and, in some cases, Social Security numbers.",Dataloss DB
July,2007,Kingston Technology Co.,Fountain Valley, California,HACK,BSO,"27,000","27,000","A security breach may have compromised 
            the names, addresses and credit card details of online customers. Kingston Technology is a computer memory vendor. The breach may have gone undetected for nearly 2 years.",Dataloss DB
January,2010,Suffolk County National Bank,Long Island, New York,HACK,BSF,"8,373","8,373","Hackers have stolen the login credentials for more than 8,300 customers 
of small New York bank after breaching its security and accessing a 
server that hosted its online banking system. The intrusion at Suffolk 
County National Bank happened over a six-day period that started on 
November 18. It was discovered on December 24 during an internal 
security review. In all, credentials for 8,378 online accounts were 
pilfered, a number that represents less than 10 percent of SCNB's total 
customer base.",Dataloss DB
January,2010,Humboldt State University ,Arcata , California,HACK,EDU,"3,500","3,500","A Humboldt State University computer infected with a virus may have exposed the personal information of 3,500 people employed by the school between 2002 and 2006. The computer was found to have a sophisticated virus that is used to steal login information.",Dataloss DB
February,2010,Southern Illinois University,Carbondale, Illinois,HACK,EDU,900,900,"A computer security breach at Southern Illinois University may have put hundreds 
of alumni at risk of identity theft. A faculty member's computer in the 
Mathematics Department was found to be infected with malicious software. When 
the computer files were searched, university officials discovered there were 
Social Security numbers for approximately 900 students who took introductory 
math classes at SIU in 2004 and 2005 stored on the hard drive.",Dataloss DB
February,2010,Valdosta State University,Valdosta, Georgia,HACK,EDU,"170,000","170,000","A Valdosta State server that was reported as being breached could have exposed 
the information of up to 170,000 students and faculty. Valdosta State officials 
reported the discovery of a breach on Dec. 11 and estimated it began on Nov. 11. The university said the grades and Social Security numbers of up to 170,000 
students and faculty were exposed in the breach.",Dataloss DB
March,2010,Westin Bonaventure Hotel & Suites,Los Angeles, California,HACK,BSO,0,0,"Westin Bonaventure Hotel & Suites four restaurants in Lake View Bistro, Lobby Court Bar, Bonavista Lounge and L.A. Prime., along with its valet parking operation, may have been hacked at some time between April and December, disclosing names, credit card numbers and expiration dates printed on customers' debit and credit cards.",Dataloss DB
March,2010,monoprice.com,Rancho Cucamonga, California,HACK,BSR,0,0,"The company took their web site offline, after it received e-mails and phone calls from several customers complaining about fraudulent charges on their debit and credit cards that they had used on monoprice.com.",Dataloss DB
March,2010,St. Louis Metropolitan Police Department,St. Louis, Missouri,HACK,GOV,24,24,"24 people may have had their personal information compromised following the cyber attack of one computer in the St. Louis Metropolitan Police Department. The attack came through an e-mail. The department’s website was not attacked. The names, addresses and Social Security numbers of the 24 people may have been viewed.",Dataloss DB
March,2010,Mary's Pizza Shack,Sonoma, California,HACK,BSO,50,50,"The Plaza location of Mary's Pizza Shack has been identified as the target of Internet hackers who penetrated the restaurant's computer system with a ""logger"" virus that captured credit card numbers at the transaction terminal. Only credit card numbers were taken by the virus, Albano emphasized, no personal identification information, such as Social Security numbers or bank account records were exposed, although VISA and MasterCard debit accounts were apparently raided. Trustwave identified and removed the virus doing the damage.",Dataloss DB
February,2010,Dairy Queen,Hanceville, Alabama,HACK,BSO,0,0,"Hanceville police are cautioning residents to be on guard against a 
sophisticated debit card wire scam that has leached hundreds of thousands of 
dollars from customers whose card numbers have been stolen remotely from pay 
terminals at one or more local businesses. The primary target in the theft so 
far has been the Dairy Queen restaurant. It's unsure whether this is ultimately 
involving other businesses. At the Dairy Queen location, somebody has apparently 
tapped into the Internet server and hacked into the debit card system. They are printing the customers’ debit card numbers and using them all over 
California and Georgia.",Dataloss DB
January,2006,"Indiana University, University Place Conference Center & Hotel",Indianapolis, Indiana,HACK,BSO,0,0,The computer housing the reservations data base was compromised. Data included credit card account numbers and names.,Security Breach Letter
January,2007,MoneyGram International,Minneapolis, Minnesota,HACK,BSF,"79,000","79,000","MoneyGram, a payment service 
            provider, reported that a company server was unlawfully accessed over 
            the Internet last month. It contained information on about 79,000 
            bill payment customers, including names, addresses, phone numbers, 
            and in some cases, bank account numbers.",Media
August,2006,University of South Carolina,Columbia, South Carolina,HACK,EDU,"6,000","6,000","TheState.com reported that the University of South Carolina warned 6,000 current and former students that their information, including Social Security numbers and birth dates, may have been breached when a server was accessed from outside the system.",Media
June,2006,Ohio University,Athens, Ohio,HACK,EDU,"2,480","2,480","A breach was discovered 
            on a computer that housed IRS 1099 forms for vendors and independent 
            contractors for calendar years 2004 and 2005.",Media
March,2010,Three Rivers Community College,Norwich, Connecticut,HACK,EDU,0,0,Three Rivers Community College may have suffered a security breach due to unauthorized access to its computer network. Data made vulnerable in the breach included names and Social Security numbers. Those affected would have been involved in the following programs during these years: 1997-2009: Participants in the Real Estate programs2004-2009: Participants in the Life Long Learners programs 2003-2006: Participants in the Patient Care Technicians programs2004-2006: Participants in the Certified Nursing Assistant programs2004-2005: Participants in the Electric Boat academic programs2007-2008: Participants in the Bridges to Health Care Careers programs2006-2008: Participants in the Photons for Educators programs2004-2009: Faculty or staff members of the Three Rivers Continuing Education office. ,Dataloss DB
March,2010,Open Door Clinic of Greater Elgin,Elgin, Illinois,HACK,MED,260,260,"According to a lawsuit, the clinic stores patient information, including Social Security numbers, addresses, telephone numbers, insurance information and medical history on a file-sharing network. That network is accessible to employees’ personal laptops and home computers. A spreadsheet with information of about 260 of its patients was leaked as a result of the installation and use of file sharing software on computers containing patients’ personally identifiable information.",Dataloss DB
January,2010,collective2.com,Tenafly, New Jersey,HACK,BSO,"25,000","25,000","Users of the do-it-yourself trading site collective2.com received an 
“urgent” e-mail notifying them that the company's computer database had 
been breached by a hacker and that all users should log in to change 
their passwords immediately. That e-mail stated that the information 
accessed by the hacker included names, e-mail addresses, passwords and 
credit card information.
",Media
December,2009,Eastern Washington University,Cheney, Washington,HACK,EDU,"130,000","130,000","Eastern Washington University is trying to notify up to 130,000 current or former students whose names, Social Security numbers and dates of birth were on a computer network involved in a security breach. The student information goes back to 1987. The notification process could take up to two weeks. The University recently discovered the breach during an assessment of its network. Information-technology staff also discovered that the hacker installed software to store and share video files on the system. ",Dataloss DB
December,2009,Penn State University,University Park, Pennsylvania,HACK,EDU,"30,000","30,000","The University sent out letters notifying those potentially affected by malware infections, which are believed responsible for breaches. The areas and extent of the records involved in the malicious software attack included Eberly College of Science, 7,758 records; the College of Health and Human Development, 6,827 records; and one of Penn State's campuses outside of University Park, approximately 15,000 records.",Dataloss DB
December,2009,University of Nebraska,Omaha, Nebraska,HACK,EDU,"1,400","1,400","A computer in the College of Education and Human Sciences at the Lincoln campus was breached. The security breach was discovered last month at the University of Nebraska involving the names, addresses and Social Security Numbers of 1,400 Hinsdale High School District 86 graduates. The University's investigation revealed the computer had not been adequately secured, allowing unauthorized external access to the computer and its information.",Dataloss DB
November,2009,Nebraska Workers' Compensation Court,Omaha, Nebraska,HACK,GOV,0,0,"Someone broke into a server that temporarily held injury reports. Whenever a worker has a job-related injury, a report is filed with the Workers' Compensation Court and the information is temporarily stored on that server. Personal information, including birth dates and Social Security numbers, would have been on the server.",Dataloss DB
